"rental_id","durasi_sewa_aktual","jatah_durasi_film","denda_yang_dibayar"
189,1,6,4.99
190,6,5,1.99
191,2,6,0.99
192,7,7,2.99
193,4,3,1.99
194,4,3,1.99
195,5,4,5.99
196,1,6,2.99
197,8,7,5.99
198,9,5,4.99
199,2,5,2.99
200,5,5,4.99
201,9,3,8.99
202,7,5,2.99
203,8,5,5.99
204,4,6,0.99
205,3,5,4.99
206,1,3,0.99
207,1,3,4.99
208,1,7,4.99
209,1,5,4.99
210,1,6,2.99
211,2,3,2.99
212,4,6,4.99
213,5,4,3.99
214,5,4,3.99
215,2,7,0.99
216,8,3,5.99
217,5,7,4.99
218,9,3,6.99
219,2,7,4.99
220,6,7,4.99
221,3,5,2.99
222,5,5,0.99
223,4,5,4.99
224,9,4,9.99
225,6,6,4.99
226,5,7,4.99
227,4,3,5.99
228,9,4,9.99
229,5,6,4.99
230,4,4,0.99
231,1,3,4.99
232,1,6,0.99
233,2,3,4.99
234,8,3,5.99
235,9,6,5.99
236,2,7,0.99
237,3,5,0.99
238,1,4,4.99
239,6,3,3.99
240,9,6,7.99
241,2,7,0.99
242,7,6,1.99
243,8,4,6.99
244,5,7,2.99
245,1,7,4.99
246,3,5,2.99
247,2,3,4.99
248,5,6,0.99
249,2,5,2.99
250,1,6,4.99
251,3,6,0.99
252,7,4,7.99
253,1,3,0.99
254,5,5,4.99
255,1,7,4.99
256,5,4,3.99
257,3,6,4.99
258,4,6,2.99
259,9,3,8.99
260,5,4,3.99
261,7,4,3.99
262,2,6,2.99
263,4,6,4.99
264,1,4,2.99
265,6,6,0.99
266,1,6,0.99
267,4,6,4.99
268,1,3,0.99
269,1,6,4.99
270,8,3,9.99
271,8,7,5.99
272,8,3,9.99
273,3,4,2.99
274,8,3,5.99
275,9,3,6.99
276,8,5,7.99
277,2,3,2.99
278,7,4,3.99
279,8,6,2.99
280,1,7,2.99
281,1,3,0.99
282,6,4,6.99
283,5,4,3.99
284,9,5,8.99
285,5,4,1.99
286,9,7,6.99
287,7,7,2.99
288,8,4,8.99
289,2,5,0.99
290,4,7,2.99
291,8,3,5.99
292,10,6,6.99
293,8,5,5.99
294,2,6,4.99
295,1,3,4.99
296,9,3,6.99
297,1,4,2.99
298,3,4,0.99
299,2,7,4.99
300,10,6,6.99
301,6,7,2.99
302,8,4,4.99
303,1,5,4.99
304,7,4,5.99
305,7,4,3.99
306,2,7,0.99
307,9,5,8.99
308,9,5,6.99
309,7,6,1.99
310,7,3,6.99
311,6,5,3.99
312,7,7,2.99
313,3,6,4.99
314,2,3,0.99
315,3,3,4.99
316,3,5,4.99
317,6,3,5.99
318,8,6,4.99
319,4,6,2.99
320,1,3,4.99
322,6,6,4.99
323,3,6,2.99
324,3,3,0.99
325,4,3,5.99
326,8,5,7.99
327,8,4,8.99
328,5,6,2.99
329,4,3,5.99
330,8,5,7.99
331,9,4,9.99
332,7,6,5.99
333,5,6,4.99
334,2,3,4.99
335,9,6,3.99
336,2,6,2.99
337,6,4,2.99
338,5,5,4.99
339,8,7,3.99
340,8,3,9.99
341,9,4,5.99
342,2,6,0.99
343,1,6,0.99
344,2,6,2.99
345,4,6,2.99
346,9,4,9.99
347,1,7,0.99
348,5,5,4.99
349,1,4,0.99
350,8,4,4.99
351,5,4,5.99
352,2,3,0.99
353,7,4,5.99
354,5,5,2.99
355,5,5,4.99
356,3,5,2.99
357,3,3,0.99
358,2,5,0.99
359,2,6,4.99
360,7,3,8.99
361,4,6,0.99
362,5,5,0.99
363,1,3,0.99
364,4,7,4.99
365,8,6,2.99
366,8,5,3.99
367,3,3,0.99
368,8,3,5.99
369,5,6,2.99
370,9,7,4.99
371,9,6,3.99
372,8,3,5.99
373,5,4,1.99
374,9,3,6.99
375,8,7,3.99
376,6,4,4.99
377,6,5,5.99
378,2,3,2.99
379,6,4,4.99
380,8,6,6.99
381,4,6,4.99
382,4,6,0.99
383,7,4,3.99
384,6,5,5.99
385,3,3,0.99
386,3,3,0.99
387,5,3,2.99
388,3,4,2.99
389,9,5,8.99
390,6,4,4.99
391,5,6,2.99
392,5,6,2.99
393,1,4,2.99
394,7,6,5.99
395,4,4,0.99
396,2,4,0.99
397,1,3,2.99
398,6,6,0.99
399,2,3,4.99
400,4,4,2.99
401,2,7,2.99
402,3,3,0.99
403,2,5,0.99
404,3,3,0.99
405,9,3,6.99
406,3,5,2.99
407,4,7,2.99
408,1,3,0.99
409,6,7,0.99
410,6,3,3.99
411,7,3,4.99
412,2,6,4.99
413,7,5,4.99
414,4,4,0.99
415,1,5,0.99
416,2,3,0.99
417,2,6,4.99
418,8,3,5.99
419,6,5,1.99
420,7,3,6.99
421,8,4,8.99
422,5,4,3.99
423,6,7,0.99
424,9,3,6.99
425,7,6,3.99
426,9,4,5.99
427,9,3,6.99
428,4,7,2.99
429,9,3,8.99
430,9,5,4.99
431,9,3,8.99
432,2,6,4.99
433,3,6,0.99
434,8,3,5.99
435,6,5,1.99
436,3,4,4.99
437,9,6,5.99
438,9,5,6.99
439,6,7,2.99
440,2,3,4.99
441,3,4,4.99
442,3,4,2.99
443,8,4,8.99
444,5,6,2.99
445,3,3,0.99
446,7,7,4.99
447,9,7,2.99
448,7,4,3.99
449,8,7,3.99
450,9,5,6.99
451,2,5,4.99
452,3,3,0.99
453,2,5,2.99
454,3,6,4.99
455,8,7,3.99
456,6,4,4.99
457,6,7,0.99
458,10,4,6.99
459,2,7,0.99
460,1,7,2.99
461,5,5,2.99
462,7,4,5.99
463,8,7,3.99
464,3,4,0.99
465,6,5,3.99
466,2,5,0.99
467,5,6,4.99
468,8,3,9.99
469,9,6,5.99
470,8,4,4.99
471,4,7,0.99
472,2,3,0.99
473,9,6,7.99
474,4,5,2.99
475,1,6,2.99
476,7,6,1.99
477,6,3,3.99
478,4,4,4.99
479,9,5,6.99
480,8,5,3.99
481,3,5,2.99
482,5,3,6.99
483,1,7,4.99
484,2,4,2.99
485,1,4,2.99
486,1,5,4.99
487,0,7,4.99
488,6,6,4.99
489,3,7,4.99
490,2,3,4.99
491,1,6,2.99
492,0,6,4.99
493,2,4,0.99
494,5,5,4.99
495,1,4,4.99
496,7,5,2.99
497,6,4,6.99
498,2,3,0.99
499,8,3,7.99
500,3,4,0.99
501,2,5,4.99
502,3,6,0.99
503,0,3,4.99
504,2,4,0.99
505,1,5,2.99
506,8,5,7.99
507,5,6,0.99
508,8,3,5.99
509,3,4,0.99
510,2,5,0.99
511,6,5,5.99
512,8,4,8.99
513,1,3,2.99
514,8,4,8.99
515,7,4,7.99
516,7,6,1.99
517,1,6,0.99
518,2,3,0.99
519,6,3,7.99
520,7,4,5.99
521,0,6,0.99
522,3,4,2.99
523,3,3,2.99
524,3,6,2.99
525,9,4,5.99
526,2,3,2.99
527,5,4,3.99
528,6,5,3.99
529,2,3,4.99
530,4,4,0.99
531,1,3,0.99
532,5,5,0.99
533,4,3,5.99
534,9,7,4.99
535,3,7,4.99
536,6,4,4.99
537,8,4,8.99
538,5,4,1.99
539,2,6,0.99
540,9,3,6.99
541,5,3,2.99
542,6,4,6.99
543,9,4,7.99
544,9,3,6.99
545,7,4,3.99
546,4,3,1.99
547,9,3,8.99
548,8,5,3.99
549,5,4,1.99
550,9,6,5.99
551,5,5,4.99
552,7,6,3.99
553,5,4,3.99
554,3,6,0.99
555,2,7,4.99
556,9,7,4.99
557,6,6,0.99
558,9,7,6.99
559,8,5,7.99
560,7,6,1.99
561,8,6,2.99
562,5,4,1.99
563,9,6,3.99
564,1,3,0.99
565,4,3,5.99
566,8,6,6.99
567,4,3,1.99
568,3,3,2.99
569,6,4,6.99
570,2,7,0.99
571,8,7,1.99
572,5,3,4.99
573,6,6,0.99
574,7,6,1.99
575,8,3,9.99
576,7,5,2.99
577,4,5,2.99
578,5,7,2.99
579,5,3,6.99
580,4,5,2.99
581,7,6,1.99
582,1,3,4.99
583,7,4,7.99
584,4,5,4.99
585,6,4,6.99
586,1,7,0.99
587,2,6,0.99
588,1,6,0.99
589,6,3,3.99
590,5,4,3.99
591,1,5,2.99
592,1,7,4.99
593,2,6,2.99
594,2,6,2.99
595,8,7,1.99
596,1,4,4.99
597,9,6,3.99
598,6,7,0.99
599,4,4,4.99
600,6,3,3.99
601,7,4,7.99
602,8,5,3.99
603,1,3,4.99
604,6,7,0.99
605,4,3,1.99
606,7,3,8.99
607,2,6,2.99
608,7,3,4.99
609,8,6,2.99
610,5,7,0.99
611,3,6,0.99
612,2,7,2.99
613,5,3,6.99
614,7,6,1.99
615,6,5,5.99
616,5,7,2.99
617,3,6,2.99
618,4,4,4.99
619,9,4,7.99
620,7,4,5.99
621,2,5,4.99
622,7,6,3.99
623,2,5,4.99
624,9,7,4.99
625,4,6,0.99
626,4,7,4.99
627,7,4,7.99
628,9,5,4.99
629,5,6,4.99
630,8,4,8.99
631,6,7,2.99
632,6,5,5.99
633,6,6,0.99
634,8,4,4.99
635,9,4,5.99
636,7,3,6.99
637,1,7,4.99
638,5,3,2.99
639,1,6,2.99
640,2,4,0.99
641,7,6,5.99
642,4,5,4.99
643,3,4,4.99
644,7,3,8.99
645,8,6,2.99
646,3,5,0.99
647,4,3,1.99
648,6,6,0.99
649,8,7,1.99
650,1,6,2.99
651,2,4,2.99
652,1,4,4.99
653,7,3,6.99
654,2,4,2.99
655,3,5,2.99
656,2,3,4.99
657,4,6,0.99
658,9,4,9.99
659,3,6,0.99
660,2,6,0.99
661,5,7,4.99
662,4,3,1.99
663,5,4,1.99
664,5,6,0.99
665,1,4,4.99
666,8,7,5.99
667,3,6,4.99
668,1,4,2.99
669,6,7,4.99
670,9,5,6.99
671,6,7,2.99
672,9,5,6.99
673,4,6,0.99
674,4,4,2.99
675,4,5,0.99
676,1,4,4.99
677,8,5,7.99
678,6,4,6.99
679,9,7,4.99
680,5,3,2.99
681,4,7,2.99
682,1,6,4.99
683,4,6,2.99
684,6,4,6.99
685,7,3,6.99
686,1,5,4.99
687,2,7,0.99
688,4,4,4.99
689,5,4,3.99
690,8,3,9.99
691,9,3,10.99
692,4,6,4.99
693,5,5,2.99
694,7,3,6.99
695,5,4,3.99
696,3,5,2.99
697,6,3,7.99
698,3,6,0.99
699,6,3,3.99
700,1,3,0.99
701,5,3,2.99
702,1,6,0.99
703,5,7,0.99
704,8,7,3.99
705,1,4,2.99
706,6,5,1.99
707,1,4,4.99
708,2,6,0.99
709,8,3,7.99
710,5,6,2.99
711,2,3,4.99
712,1,3,2.99
713,9,7,4.99
714,3,7,2.99
715,7,6,3.99
716,3,3,0.99
717,1,6,0.99
718,4,5,2.99
719,3,4,2.99
720,8,4,6.99
721,2,3,0.99
722,8,4,6.99
723,1,5,0.99
724,7,6,3.99
725,5,3,2.99
726,7,6,1.99
727,1,5,2.99
728,5,6,2.99
729,6,7,2.99
730,8,7,3.99
731,1,3,0.99
732,1,4,0.99
733,7,4,3.99
734,5,3,4.99
735,9,6,7.99
736,7,4,3.99
737,6,6,4.99
738,8,4,4.99
739,8,6,6.99
740,6,5,5.99
741,6,4,4.99
742,7,5,6.99
743,8,4,4.99
744,3,6,4.99
745,3,5,4.99
746,4,4,2.99
747,7,3,4.99
748,5,6,2.99
749,2,5,4.99
750,1,5,4.99
751,4,7,0.99
752,6,4,4.99
753,7,4,3.99
754,6,4,2.99
755,3,6,2.99
756,6,3,5.99
757,9,4,7.99
758,3,5,4.99
759,9,7,6.99
760,4,3,5.99
761,5,5,0.99
762,8,5,7.99
763,2,4,4.99
764,2,5,4.99
765,4,3,1.99
766,8,4,8.99
767,4,7,2.99
768,9,5,4.99
769,3,7,2.99
770,9,7,4.99
771,3,7,2.99
772,8,3,5.99
773,9,6,5.99
774,3,5,4.99
775,1,4,0.99
776,5,5,0.99
777,5,7,4.99
778,7,4,3.99
779,8,6,6.99
780,8,5,3.99
781,1,6,0.99
782,4,3,1.99
783,8,7,5.99
784,3,7,2.99
785,1,6,4.99
786,9,4,9.99
787,9,7,2.99
788,2,6,2.99
789,8,6,4.99
790,4,5,2.99
791,3,5,0.99
792,2,4,0.99
793,8,7,5.99
794,7,3,4.99
795,3,6,0.99
796,5,6,2.99
797,5,4,1.99
798,3,4,0.99
799,7,3,4.99
800,1,7,0.99
801,6,5,1.99
802,2,7,4.99
803,1,3,4.99
804,8,3,9.99
805,9,6,3.99
806,2,7,4.99
807,5,6,2.99
808,8,5,3.99
809,7,4,3.99
810,6,6,4.99
811,4,3,1.99
812,1,5,4.99
813,7,6,5.99
814,9,3,6.99
815,5,6,0.99
816,8,3,7.99
817,2,5,2.99
818,4,4,4.99
819,4,3,3.99
820,9,3,8.99
821,6,7,0.99
822,9,4,9.99
823,1,3,4.99
824,2,3,4.99
825,6,6,0.99
826,10,4,6.99
827,8,6,2.99
828,1,7,2.99
829,8,6,2.99
830,3,4,2.99
831,8,4,8.99
832,9,6,3.99
833,4,7,4.99
834,1,3,4.99
835,4,5,2.99
836,2,7,2.99
837,3,7,0.99
838,7,5,4.99
839,9,5,8.99
840,1,5,4.99
841,3,4,4.99
842,2,6,2.99
843,1,7,0.99
844,2,6,4.99
845,8,4,4.99
846,2,7,2.99
847,7,6,3.99
848,6,5,5.99
849,8,3,7.99
850,1,7,4.99
851,7,7,0.99
852,2,6,4.99
853,2,4,0.99
854,2,4,0.99
855,4,4,0.99
856,8,3,9.99
857,3,6,4.99
858,2,7,4.99
859,3,4,2.99
860,9,3,10.99
861,7,7,0.99
862,4,6,2.99
863,6,6,4.99
864,7,7,2.99
865,8,3,7.99
866,9,5,6.99
867,2,4,0.99
868,1,5,2.99
869,4,5,4.99
870,7,7,2.99
871,5,5,2.99
872,7,4,3.99
873,8,6,2.99
874,2,5,0.99
875,7,5,6.99
876,8,5,5.99
877,3,7,0.99
878,8,5,5.99
879,6,6,0.99
880,3,4,0.99
881,3,5,4.99
882,3,5,2.99
883,8,4,4.99
884,1,3,4.99
885,4,6,0.99
886,2,6,0.99
887,2,6,0.99
888,7,6,5.99
889,1,7,2.99
890,2,4,4.99
891,9,4,7.99
892,6,7,4.99
893,8,6,2.99
894,8,3,5.99
895,6,5,1.99
896,6,3,3.99
897,9,5,8.99
898,2,5,0.99
899,7,5,6.99
900,8,4,8.99
901,3,6,2.99
902,8,6,4.99
903,4,3,3.99
904,6,7,2.99
905,7,3,4.99
906,8,5,3.99
907,3,3,0.99
908,4,6,4.99
909,9,5,8.99
910,5,6,2.99
911,8,6,6.99
912,1,6,4.99
913,8,5,7.99
914,5,6,2.99
915,3,5,0.99
916,1,3,0.99
917,3,7,2.99
918,1,6,0.99
919,3,4,0.99
920,3,7,4.99
921,4,5,2.99
922,9,4,7.99
923,6,7,2.99
924,5,3,4.99
925,3,3,2.99
926,2,7,0.99
927,1,6,4.99
928,6,6,2.99
929,7,3,6.99
930,5,5,2.99
931,1,7,0.99
932,1,6,2.99
933,2,7,4.99
934,9,7,2.99
935,3,4,2.99
936,8,7,1.99
937,6,6,2.99
938,5,6,2.99
939,2,4,0.99
940,2,6,0.99
941,2,7,2.99
942,9,7,2.99
943,7,7,4.99
944,8,5,7.99
945,3,4,0.99
946,9,7,2.99
947,5,6,4.99
948,9,5,8.99
949,4,5,2.99
950,2,3,0.99
951,1,6,2.99
952,3,6,2.99
953,1,6,2.99
954,9,6,3.99
955,1,7,0.99
956,8,6,2.99
957,4,6,4.99
958,2,6,0.99
959,3,5,4.99
960,5,3,2.99
961,5,6,4.99
962,6,4,6.99
963,8,5,3.99
964,5,3,2.99
965,1,3,0.99
966,1,3,0.99
967,10,7,7.99
968,1,3,0.99
969,1,4,4.99
970,10,6,6.99
971,7,7,4.99
972,7,6,1.99
973,9,6,3.99
974,9,3,6.99
975,4,5,4.99
976,7,3,4.99
977,5,6,2.99
978,8,3,5.99
979,9,7,2.99
980,2,4,0.99
981,2,5,4.99
982,3,3,4.99
983,3,6,0.99
984,2,3,4.99
985,5,3,2.99
986,2,6,2.99
987,8,6,6.99
988,8,4,4.99
989,4,6,2.99
990,7,4,3.99
991,8,4,8.99
992,6,6,2.99
993,5,7,4.99
994,5,5,4.99
995,6,5,3.99
996,0,5,2.99
997,2,7,4.99
998,1,5,4.99
999,3,4,4.99
1000,8,6,6.99
1001,6,7,2.99
1002,6,6,0.99
1003,2,3,0.99
1004,1,7,0.99
1005,4,3,3.99
1006,2,4,2.99
1007,7,3,6.99
1008,1,5,4.99
1009,3,6,2.99
1010,1,3,4.99
1011,4,3,1.99
1012,3,7,2.99
1013,2,3,2.99
1014,1,6,4.99
1015,7,5,2.99
1016,4,3,1.99
1017,3,4,2.99
1018,3,5,0.99
1019,3,6,0.99
1020,2,3,0.99
1021,8,5,7.99
1022,8,3,7.99
1023,5,4,3.99
1024,9,4,7.99
1025,8,6,4.99
1026,6,3,5.99
1027,9,4,9.99
1028,1,6,4.99
1029,6,7,4.99
1030,2,3,4.99
1031,6,4,2.99
1032,2,7,2.99
1033,2,7,2.99
1034,9,3,8.99
1035,2,7,4.99
1036,4,6,0.99
1037,9,6,3.99
1038,2,4,4.99
1039,1,5,4.99
1040,9,7,4.99
1041,6,4,6.99
1042,1,5,2.99
1043,8,5,3.99
1044,3,6,4.99
1045,9,5,6.99
1046,3,7,4.99
1047,4,4,0.99
1048,2,4,0.99
1049,2,4,4.99
1050,3,5,4.99
1051,3,6,4.99
1052,5,6,4.99
1053,4,3,1.99
1054,2,4,4.99
1055,3,5,0.99
1056,5,4,3.99
1057,6,3,3.99
1058,3,6,4.99
1059,4,3,3.99
1060,9,6,7.99
1061,7,4,7.99
1062,9,4,7.99
1063,9,4,5.99
1064,2,5,4.99
1065,8,7,1.99
1066,9,7,4.99
1067,1,6,4.99
1068,1,5,4.99
1069,8,7,3.99
1070,5,6,0.99
1071,2,7,4.99
1072,5,6,0.99
1073,7,5,4.99
1074,2,3,4.99
1075,9,5,4.99
1076,5,7,2.99
1077,2,4,2.99
1078,3,5,4.99
1079,8,4,6.99
1080,3,3,4.99
1081,6,3,5.99
1082,5,4,5.99
1083,5,4,3.99
1084,1,3,4.99
1085,7,5,6.99
1086,6,7,4.99
1087,4,5,4.99
1088,6,4,4.99
1089,2,7,2.99
1090,2,5,0.99
1091,4,4,4.99
1092,3,4,4.99
1093,3,5,2.99
1094,5,4,1.99
1095,5,5,0.99
1096,9,3,8.99
1097,1,4,0.99
1098,9,6,5.99
1099,5,3,2.99
1100,6,3,7.99
1101,7,3,8.99
1102,4,5,2.99
1103,9,5,6.99
1104,5,6,2.99
1105,7,7,2.99
1106,1,7,4.99
1107,7,7,2.99
1108,9,6,5.99
1109,9,6,5.99
1110,7,4,3.99
1111,8,6,4.99
1112,3,6,0.99
1113,5,5,2.99
1114,1,3,0.99
1115,4,4,2.99
1116,1,4,0.99
1117,4,3,5.99
1118,3,3,4.99
1119,2,7,2.99
1120,4,7,4.99
1121,6,4,6.99
1122,4,6,2.99
1123,2,5,2.99
1124,4,5,4.99
1125,1,3,4.99
1126,4,6,2.99
1127,8,7,3.99
1128,5,3,6.99
1129,4,4,0.99
1130,6,3,5.99
1131,1,3,2.99
1132,7,3,4.99
1133,2,5,4.99
1134,2,5,2.99
1135,1,6,4.99
1136,9,5,4.99
1137,7,6,1.99
1138,5,3,6.99
1139,6,5,5.99
1140,7,3,4.99
1141,7,3,8.99
1142,5,4,1.99
1143,6,4,2.99
1144,9,6,3.99
1145,8,6,6.99
1146,3,5,2.99
1147,6,3,5.99
1148,2,3,0.99
1149,8,7,3.99
1150,3,5,2.99
1151,3,5,4.99
1152,4,5,4.99
1153,10,6,4.99
1154,8,3,5.99
1155,4,5,2.99
1156,1,3,0.99
1157,2,4,0.99
1158,4,5,2.99
1159,3,7,4.99
1160,4,5,4.99
1161,7,4,7.99
1162,9,7,4.99
1163,9,7,6.99
1164,2,4,0.99
1165,6,3,3.99
1166,1,3,4.99
1167,4,6,0.99
1168,5,7,2.99
1169,2,4,2.99
1170,3,4,2.99
1171,3,5,0.99
1172,2,3,0.99
1173,5,6,2.99
1174,6,4,2.99
1175,5,6,2.99
1176,6,4,6.99
1177,1,7,2.99
1178,6,7,2.99
1179,7,4,7.99
1180,6,5,5.99
1181,4,3,1.99
1182,7,4,5.99
1183,5,6,2.99
1184,7,4,5.99
1185,8,7,5.99
1186,1,5,0.99
1187,8,4,4.99
1188,4,6,2.99
1189,9,5,6.99
1190,8,6,6.99
1191,2,3,2.99
1192,4,4,4.99
1193,6,7,2.99
1194,6,7,4.99
1195,2,4,0.99
1196,3,4,4.99
1197,5,6,2.99
1198,5,6,2.99
1199,1,4,2.99
1200,6,5,1.99
1201,1,4,4.99
1202,1,3,0.99
1203,6,4,4.99
1204,5,6,0.99
1205,7,7,4.99
1206,3,5,4.99
1207,4,6,0.99
1208,3,4,0.99
1209,6,3,7.99
1210,5,6,0.99
1211,3,3,0.99
1212,2,7,2.99
1213,0,4,2.99
1214,5,6,4.99
1215,4,6,2.99
1216,3,3,4.99
1217,3,5,4.99
1218,6,5,1.99
1219,5,3,6.99
1220,8,6,6.99
1221,3,3,4.99
1222,2,5,4.99
1223,5,7,2.99
1224,2,3,0.99
1225,4,5,0.99
1226,8,3,5.99
1227,6,3,3.99
1228,2,3,2.99
1229,3,4,2.99
1230,1,5,0.99
1231,5,7,2.99
1232,2,5,0.99
1233,7,3,6.99
1234,7,6,1.99
1235,7,7,2.99
1236,3,3,2.99
1237,8,3,9.99
1238,5,6,2.99
1239,1,3,0.99
1240,2,5,2.99
1241,9,7,6.99
1242,7,4,7.99
1243,6,7,2.99
1244,5,6,4.99
1245,7,4,3.99
1246,6,5,5.99
1247,8,5,7.99
1248,4,3,1.99
1249,7,3,8.99
1250,8,6,2.99
1251,8,3,5.99
1252,9,5,8.99
1253,6,4,6.99
1254,6,4,4.99
1255,1,5,4.99
1256,1,3,0.99
1257,6,7,4.99
1258,3,4,4.99
1259,8,4,4.99
1260,1,5,2.99
1261,6,5,1.99
1262,7,7,0.99
1263,1,6,2.99
1264,3,3,4.99
1265,4,6,4.99
1266,6,3,3.99
1267,2,7,2.99
1268,8,7,1.99
1269,1,6,2.99
1270,3,6,0.99
1271,6,7,4.99
1272,3,6,0.99
1273,6,5,1.99
1274,5,6,2.99
1275,5,7,4.99
1276,9,7,6.99
1277,7,5,4.99
1278,2,6,0.99
1279,3,7,0.99
1280,6,5,5.99
1281,2,4,2.99
1282,6,5,3.99
1283,1,7,0.99
1284,2,3,2.99
1285,4,6,2.99
1286,8,3,7.99
1287,7,6,3.99
1288,4,7,2.99
1289,6,5,3.99
1290,9,5,4.99
1291,9,6,5.99
1292,6,4,6.99
1293,3,5,4.99
1294,4,6,4.99
1295,3,7,4.99
1296,4,3,1.99
1297,4,5,4.99
1298,1,7,4.99
1299,6,7,4.99
1300,2,6,2.99
1301,9,3,10.99
1302,7,6,3.99
1303,5,4,1.99
1304,9,7,4.99
1305,4,5,2.99
1306,4,3,1.99
1307,5,6,4.99
1308,9,6,5.99
1309,1,5,4.99
1310,1,3,4.99
1311,2,5,4.99
1312,5,7,2.99
1313,8,5,5.99
1314,6,5,5.99
1315,6,4,4.99
1316,6,7,0.99
1317,9,5,4.99
1318,5,3,2.99
1319,3,3,2.99
1320,2,6,4.99
1321,1,5,2.99
1322,3,5,2.99
1323,9,7,6.99
1324,2,6,4.99
1325,5,6,4.99
1326,7,6,1.99
1327,7,7,0.99
1328,4,7,2.99
1329,2,6,4.99
1330,9,7,2.99
1331,6,6,2.99
1332,2,6,0.99
1333,1,7,2.99
1334,5,4,3.99
1335,1,3,0.99
1336,8,4,8.99
1337,5,3,2.99
1338,4,6,4.99
1339,4,4,4.99
1340,7,6,3.99
1341,6,3,3.99
1342,7,6,5.99
1343,6,4,4.99
1344,7,7,0.99
1345,9,7,4.99
1346,9,4,7.99
1347,1,5,2.99
1348,2,5,2.99
1349,2,6,4.99
1350,8,6,4.99
1351,7,6,3.99
1352,3,6,0.99
1353,6,7,0.99
1354,8,3,5.99
1355,5,6,2.99
1356,4,5,0.99
1357,8,4,4.99
